City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,bagdarin,54.43,113.6,10.24,89,100,5.48,RU,1605815140
135,sigli,5.38,95.96,78.69,76,100,4.18,ID,1605815140
136,cap malheureux,-19.98,57.61,70.0,79,14,5.01,MU,1605815140
137,rocha,-34.48,-54.33,65.32,58,6,10.8,UY,1605815140
138,pitimbu,-7.47,-34.81,84.2,70,40,10.29,BR,1605815140
139,aldan,58.6,125.39,-3.33,92,89,0.22,RU,1605815140
140,fairview,40.81,-74.0,48.2,42,1,3.36,US,1605815009
141,la asuncion,11.03,-63.86,87.8,52,15,18.34,VE,1605815140
142,niles,42.02,-87.8,66.0,34,90,21.92,US,1605815140
143,mitsamiouli,-11.38,43.28,80.19,75,8,10.09,KM,1605815140
144,puerto baquerizo moreno,-0.9,-89.6,78.8,78,40,16.11,EC,1605815141
145,cayenne,4.93,-52.33,78.8,88,0,3.36,GF,1605815141
146,tual,-5.67,132.75,83.34,77,100,9.35,ID,1605815141
147,lucea,18.45,-78.17,84.99,83,40,13.87,JM,1605815141
148,sayyan,15.17,44.32,46.04,53,0,5.32,YE,1605815141
149,lavrentiya,65.58,-171.0,28.38,97,100,8.41,RU,1605815141
150,madinat sittah uktubar,29.82,31.05,66.2,68,20,6.93,EG,1605815141
151,puerto ayora,-0.74,-90.35,80.6,65,40,8.05,EC,1605815142
152,caravelas,-17.71,-39.25,77.83,85,100,11.88,BR,1605815142
153,yerkoy,39.64,34.47,40.21,69,99,4.16,TR,1605815142
154,tiksi,71.69,128.87,4.53,88,100,27.83,RU,1605815142
155,georgetown,5.41,100.34,78.8,94,40,2.24,MY,1605815028
156,beboto,8.27,16.94,76.32,37,0,1.19,TD,1605815142
157,dikson,73.51,80.55,19.54,97,100,21.21,RU,1605815142
158,marawi,8.0,124.29,75.0,89,100,4.0,PH,1605815142
159,seoul,37.57,126.98,44.6,81,90,5.82,KR,1605814959
160,saldanha,-33.01,17.94,64.4,63,0,10.29,ZA,1605815142
161,pacific grove,36.62,-121.92,60.8,63,1,3.36,US,1605815142
162,magdagachi,53.45,125.8,6.03,93,77,2.19,RU,1605815143
163,innisfail,-17.53,146.03,64.0,98,78,5.99,AU,1605815143
164,sao jose da coroa grande,-8.9,-35.15,80.01,73,100,11.97,BR,1605815143
165,enid,36.4,-97.88,75.2,44,1,25.28,US,1605815093
166,nanning,22.82,108.32,66.2,93,0,3.69,CN,1605815143
167,nuuk,64.18,-51.72,33.8,74,75,13.87,GL,1605815143
168,pangkalanbuun,-2.68,111.62,72.45,95,100,1.92,ID,1605815143
169,atar,20.52,-13.05,79.03,19,98,8.3,MR,1605815143
170,mahebourg,-20.41,57.7,71.6,94,75,3.36,MU,1605815143
171,urucara,-2.54,-57.76,87.89,58,100,2.44,BR,1605815143
172,azare,11.68,10.19,73.26,26,0,6.35,NG,1605815143
173,baker city,44.77,-117.83,46.4,45,75,3.36,US,1605815144
174,randolph,35.7,-79.82,53.6,30,1,4.7,US,1605815144
175,gazanjyk,39.24,55.52,29.82,69,14,23.02,TM,1605815056
